Optimal cost=,6.28319
Generation,BestCost,MeanCost
823,6.28319,6.79546
824,6.28319,6.79081
825,6.28319,6.7894
826,6.28319,6.79305
827,6.28319,6.80954
828,6.28319,6.82972
829,6.28319,6.81331
830,6.28319,6.80092
831,6.28319,6.80257
832,6.28319,6.80568
833,6.28319,6.82162
834,6.28319,6.8174
835,6.28319,6.80577
836,6.28319,6.81244
837,6.28319,6.80763
838,6.28319,6.80216
839,6.28319,6.81075
840,6.28319,6.80888
841,6.28319,6.80871
842,6.28319,6.79018
843,6.28319,6.80125
844,6.28319,6.80108
845,6.28319,6.7931
846,6.28319,6.79143
847,6.28319,6.79638
848,6.28319,6.79325
849,6.28319,6.79764
850,6.28319,6.79758
851,6.28319,6.79699
852,6.28319,6.81662
853,6.28319,6.79805
854,6.28319,6.80737
855,6.28319,6.80164
856,6.28319,6.79953
857,6.28319,6.80721
858,6.28319,6.8071
859,6.28319,6.79804
860,6.28319,6.79607
861,6.28319,6.79679
862,6.28319,6.76811
863,6.28319,6.79098
864,6.28319,6.78543
865,6.28319,6.77044
866,6.28319,6.78432
867,6.28319,6.77979
868,6.28319,6.78253
869,6.28319,6.78609
870,6.28319,6.801
871,6.28319,6.79963
872,6.28319,6.79616
873,6.28319,6.80628
874,6.28319,6.80245
875,6.28319,6.78314
876,6.28319,6.77963
877,6.28319,6.78182
878,6.28319,6.77953
879,6.28319,6.76213
880,6.28319,6.77331
881,6.28319,6.77396
882,6.28319,6.78455
883,6.28319,6.79343
884,6.28319,6.78941
885,6.28319,6.78953
886,6.28319,6.78768
887,6.28319,6.7929
888,6.28319,6.79261
889,6.28319,6.79222
890,6.28319,6.78836
891,6.28319,6.78474
892,6.28319,6.77511
893,6.28319,6.78948
894,6.28319,6.78945
895,6.28319,6.81272
896,6.28319,6.80371
897,6.28319,6.80276
898,6.28319,6.79906
899,6.28319,6.79637
900,6.28319,6.77999
901,6.28319,6.77034
902,6.28319,6.75751
903,6.28319,6.77469
904,6.28319,6.77448
905,6.28319,6.78817
906,6.28319,6.7915
907,6.28319,6.79425
908,6.28319,6.78656
909,6.28319,6.80687
910,6.28319,6.80272
911,6.28319,6.785
912,6.28319,6.79134
913,6.28319,6.77773
914,6.28319,6.771
915,6.28319,6.74355
916,6.28319,6.76238
917,6.28319,6.77335
918,6.28319,6.79258
919,6.28319,6.76866
920,6.28319,6.79525
921,6.28319,6.79682
922,6.28319,6.78512
923,6.28319,6.77651
924,6.28319,6.81202
925,6.28319,6.80051
926,6.28319,6.78085
927,6.28319,6.7786
928,6.28319,6.78521
929,6.28319,6.78282
930,6.28319,6.78138
931,6.28319,6.79552
932,6.28319,6.78095
933,6.28319,6.78723
934,6.28319,6.80166
935,6.28319,6.81348
936,6.28319,6.80244
937,6.28319,6.79938
938,6.28319,6.79872
939,6.28319,6.80824
940,6.28319,6.80128
941,6.28319,6.79341
942,6.28319,6.7905
943,6.28319,6.78489
944,6.28319,6.78385
945,6.28319,6.78348
946,6.28319,6.7784
947,6.28319,6.77634
948,6.28319,6.78873
949,6.28319,6.78734
950,6.28319,6.78024
951,6.28319,6.79278
952,6.28319,6.80324
953,6.28319,6.83066
954,6.28319,6.83364
955,6.28319,6.81063
956,6.28319,6.81258
957,6.28319,6.81297
958,6.28319,6.81543
959,6.28319,6.81014
960,6.28319,6.79486
961,6.28319,6.78753
962,6.28319,6.79392
963,6.28319,6.80021
964,6.28319,6.8044
965,6.28319,6.80722
966,6.28319,6.81435
967,6.28319,6.81106
968,6.28319,6.81193
969,6.28319,6.81684
970,6.28319,6.82137
971,6.28319,6.81916
972,6.28319,6.83168
973,6.28319,6.82908
974,6.28319,6.82075
975,6.28319,6.81227
976,6.28319,6.80515
977,6.28319,6.80875
978,6.28319,6.79153
979,6.28319,6.80533
980,6.28319,6.80337
981,6.28319,6.79977
982,6.28319,6.81009
983,6.28319,6.82078
984,6.28319,6.80916
985,6.28319,6.79494
986,6.28319,6.79588
987,6.28319,6.80388
988,6.28319,6.81601
989,6.28319,6.80922
990,6.28319,6.81722
991,6.28319,6.80583
992,6.28319,6.78826
993,6.28319,6.79046
994,6.28319,6.77906
995,6.28319,6.77341
996,6.28319,6.78803
997,6.28319,6.79219
998,6.28319,6.79532
999,6.28319,6.80167
