Initial cost=,14.586
Generation,BestCost,MeanCost
430,4.39783,4.92454
431,4.39783,4.91739
432,4.39783,4.92109
433,4.39783,4.91333
434,4.39783,4.91466
435,4.39783,4.91414
436,4.39783,4.9114
437,4.39783,4.91425
438,4.39783,4.90833
439,4.39783,4.90583
440,4.39783,4.91311
441,4.37562,4.92184
442,4.39783,4.91996
443,4.39783,4.91479
444,4.35624,4.91564
445,4.39783,4.92137
446,4.39783,4.91893
447,4.39783,4.92539
448,4.39783,4.92736
449,4.39783,4.92349
450,4.41004,4.92909
451,4.33843,4.92779
452,4.27946,4.92745
453,4.33843,4.92554
454,4.39783,4.92847
455,4.37165,4.93219
456,4.39783,4.93176
457,4.39783,4.9386
458,4.39783,4.93598
459,4.39783,4.93924
460,4.39783,4.9375
461,4.39783,4.93909
462,4.39783,4.94482
463,4.39783,4.95017
464,4.39783,4.94325
465,4.33855,4.93635
466,4.33855,4.92975
467,4.39752,4.93455
468,4.33855,4.93843
469,4.33855,4.94356
470,4.33855,4.93723
471,4.33855,4.93551
472,4.33855,4.93398
473,4.33855,4.93465
474,4.33855,4.92921
475,4.33855,4.93441
476,4.33855,4.94116
477,4.33855,4.93914
478,4.33855,4.93993
479,4.31926,4.93004
480,4.31926,4.93033
481,4.33855,4.92525
482,4.33855,4.9236
483,4.33855,4.91961
484,4.33855,4.91436
485,4.33855,4.91259
486,4.33855,4.90705
487,4.33855,4.90876
488,4.33855,4.90737
489,4.33855,4.90636
490,4.33855,4.90214
491,4.33855,4.89717
492,4.33855,4.90028
493,4.33855,4.89884
494,4.33855,4.90365
495,4.324,4.90365
496,4.33855,4.90632
497,4.33855,4.9022
498,4.33855,4.90652
499,4.33855,4.90022
500,4.33855,4.89935
501,4.33855,4.90075
502,4.33855,4.89718
503,4.33855,4.89121
504,4.33855,4.89122
505,4.33855,4.88636
506,4.33855,4.88021
507,4.33855,4.88056
508,4.33855,4.88069
509,4.33855,4.87953
510,4.33855,4.88181
511,4.33855,4.87893
512,4.32719,4.88126
513,4.32719,4.88416
514,4.32719,4.88598
515,4.32719,4.88992
516,4.32719,4.88517
517,4.32719,4.88829
518,4.32719,4.89319
519,4.32719,4.89824
520,4.32719,4.90149
521,4.32719,4.89494
522,4.32719,4.89643
523,4.32719,4.89527
524,4.32719,4.89069
525,4.32719,4.87217
526,4.32719,4.86802
527,4.32719,4.86147
528,4.32719,4.86018
529,4.32719,4.85394
530,4.32719,4.84867
531,4.32719,4.84966
532,4.32719,4.85732
533,4.25925,4.86026
534,4.25925,4.86068
535,4.25925,4.85829
536,4.24665,4.85969
537,4.32719,4.86448
538,4.31926,4.85978
539,4.31528,4.86464
540,4.31926,4.86329
541,4.31926,4.86365
542,4.31926,4.85825
543,4.25459,4.86193
544,4.25459,4.86019
545,4.25459,4.86136
546,4.25459,4.86062
547,4.25459,4.85981
548,4.25459,4.85748
549,4.24665,4.85461
550,4.25459,4.85419
551,4.24665,4.85763
552,4.24665,4.85584
553,4.24665,4.85255
554,4.24665,4.84941
555,4.24665,4.85099
556,4.24665,4.8518
557,4.30562,4.85514
558,4.24665,4.85622
559,4.24665,4.85351
560,4.24665,4.8496
561,4.24665,4.84726
562,4.24665,4.85233
563,4.25925,4.85252
564,4.24665,4.85036
565,4.24665,4.84592
566,4.24665,4.84316
567,4.25925,4.83788
568,4.25925,4.82901
569,4.23996,4.82412
570,4.25925,4.82329
571,4.23996,4.81765
572,4.23996,4.81088
573,4.23529,4.81372
574,4.23529,4.81496
575,4.23529,4.81082
576,4.23529,4.81049
577,4.23529,4.81037
578,4.23529,4.80739
579,4.23529,4.80736
580,4.23529,4.80919
581,4.23529,4.81078
582,4.23529,4.80569
583,4.23529,4.81123
584,4.23529,4.81204
585,4.23529,4.81048
586,4.23529,4.81823
587,4.23529,4.81044
588,4.23529,4.81005
589,4.23529,4.81079
590,4.23529,4.79321
591,4.23529,4.78931
592,4.23529,4.78395
593,4.23529,4.78182
594,4.23529,4.78255
595,4.23529,4.78692
596,4.23529,4.78535
597,4.23529,4.78909
598,4.23529,4.79193
599,4.23529,4.79049
600,4.23529,4.78771
601,4.23529,4.78872
602,4.23529,4.78561
603,4.23529,4.78694
604,4.23529,4.77905
605,4.23529,4.77819
606,4.23529,4.774
607,4.23529,4.76803
608,4.23529,4.76252
609,4.23529,4.76057
610,4.23529,4.75873
611,4.23529,4.75688
612,4.23529,4.75886
613,4.23529,4.75564
614,4.23529,4.74996
615,4.23529,4.74679
616,4.23529,4.74727
617,4.23529,4.74391
618,4.23529,4.75651
619,4.23529,4.75914
620,4.23529,4.75733
621,4.23529,4.75704
622,4.23529,4.76279
623,4.23529,4.75596
624,4.23529,4.75116
625,4.23529,4.74779
626,4.23529,4.7441
627,4.23529,4.7392
628,4.23529,4.74627
629,4.23529,4.74506
630,4.23529,4.74459
631,4.23529,4.7457
632,4.23529,4.75188
633,4.23529,4.74111
634,4.23529,4.73479
635,4.23529,4.73349
636,4.23529,4.72848
637,4.23529,4.72406
638,4.23529,4.72296
639,4.23529,4.71592
640,4.23529,4.7161
641,4.23529,4.72422
642,4.23529,4.72147
643,4.23529,4.72232
644,4.23529,4.72005
645,4.23529,4.71525
646,4.23529,4.71568
647,4.23529,4.71455
648,4.23529,4.71505
649,4.21202,4.71472
650,4.21202,4.71502
651,4.21202,4.71508
652,4.21202,4.71939
653,4.23529,4.7134
654,4.23529,4.71136
655,4.23529,4.70296
